encodeur,condition,variante,vrai,predit,n
IN1K,source,brute,thyroide,thyroide,811
IN1K,source,brute,thyroide,sein,326
IN1K,source,brute,sein,foetal,91
IN1K,source,brute,sein,cardiaque,1
IN1K,source,brute,sein,thyroide,169
IN1K,source,brute,sein,sein,895
DINOv2,image,equilibree,foetal,foetal,628
DINOv2,image,equilibree,foetal,cardiaque,0
DINOv2,image,equilibree,foetal,thyroide,1
DINOv2,image,equilibree,foetal,sein,1
DINOv2,image,equilibree,cardiaque,foetal,0
DINOv2,image,equilibree,cardiaque,cardiaque,540
DINOv2,image,equilibree,cardiaque,thyroide,0
DINOv2,image,equilibree,cardiaque,sein,0
DINOv2,image,equilibree,thyroide,foetal,2
DINOv2,image,equilibree,thyroide,cardiaque,0
DINOv2,image,equilibree,thyroide,thyroide,348
DINOv2,image,equilibree,thyroide,sein,10
DINOv2,image,equilibree,sein,foetal,0
DINOv2,image,equilibree,sein,cardiaque,0
DINOv2,image,equilibree,sein,thyroide,5
DINOv2,image,equilibree,sein,sein,342
DINOv2,image,brute,foetal,foetal,629
DINOv2,image,brute,foetal,cardiaque,0
DINOv2,image,brute,foetal,thyroide,0
DINOv2,image,brute,foetal,sein,1
DINOv2,image,brute,cardiaque,foetal,0
DINOv2,image,brute,cardiaque,cardiaque,540
DINOv2,image,brute,cardiaque,thyroide,0
DINOv2,image,brute,cardiaque,sein,0
DINOv2,image,brute,thyroide,foetal,2
DINOv2,image,brute,thyroide,cardiaque,0
DINOv2,image,brute,thyroide,thyroide,348
DINOv2,image,brute,thyroide,sein,10
DINOv2,image,brute,sein,foetal,0
DINOv2,image,brute,sein,cardiaque,0
DINOv2,image,brute,sein,thyroide,5
DINOv2,image,brute,sein,sein,342
DINOv2,source,equilibree,foetal,foetal,1960
DINOv2,source,equilibree,foetal,cardiaque,53
DINOv2,source,equilibree,foetal,thyroide,56
DINOv2,source,equilibree,foetal,sein,31
DINOv2,source,equilibree,cardiaque,foetal,818
DINOv2,source,equilibree,cardiaque,cardiaque,758
DINOv2,source,equilibree,cardiaque,thyroide,69
DINOv2,source,equilibree,cardiaque,sein,155
DINOv2,source,equilibree,thyroide,foetal,68
DINOv2,source,equilibree,thyroide,cardiaque,0
DINOv2,source,equilibree,thyroide,thyroide,991
DINOv2,source,equilibree,thyroide,sein,141
DINOv2,source,equilibree,sein,foetal,18
DINOv2,source,equilibree,sein,cardiaque,0
DINOv2,source,equilibree,sein,thyroide,257
DINOv2,source,equilibree,sein,sein,881
DINOv2,source,brute,foetal,foetal,1925
DINOv2,source,brute,foetal,cardiaque,81
DINOv2,source,brute,foetal,thyroide,60
DINOv2,source,brute,foetal,sein,34
