encodeur,condition,variante,pli,n_test,exactitude,exactitude_equilibree,f1_macro,rappel_foetal,rappel_cardiaque,rappel_thyroide,rappel_sein
RANDOM,image,equilibree,regroupe,1877,0.961640916355887,0.9533389940990805,0.9537332820273231,0.9857142857142858,0.9888888888888889,0.9194444444444444,0.9193083573487032
RANDOM,image,brute,regroupe,1877,0.9573787959509856,0.9476132343747617,0.9482872291719114,0.9873015873015873,0.987037037037037,0.9083333333333333,0.9077809798270894
RANDOM,source,equilibree,regroupe,6256,0.489769820971867,0.5189281938265502,0.49922680279684417,0.4361904761904762,0.35944444444444446,0.4825,0.7975778546712803
RANDOM,source,equilibree,0,1200,0.6,0.6000000000000001,0.5970834431673473,0.6866666666666666,0.43333333333333335,0.74,0.54
RANDOM,source,equilibree,1,1800,0.48833333333333334,0.5086111111111111,0.475501334247689,0.4477777777777778,0.04666666666666667,0.63,0.91
RANDOM,source,equilibree,2,1800,0.4388888888888889,0.42666666666666664,0.39855319462642314,0.18,0.4633333333333333,0.15666666666666668,0.9066666666666666
RANDOM,source,equilibree,3,1456,0.4635989010989011,0.4878776041666667,0.4541241841077186,0.4216666666666667,0.2866666666666667,0.4033333333333333,0.83984375
RANDOM,source,brute,regroupe,6256,0.48321611253196933,0.5122496841874005,0.49386068644509495,0.44476190476190475,0.33111111111111113,0.48333333333333334,0.7897923875432526
RANDOM,source,brute,0,1200,0.6,0.6,0.596093236007463,0.72,0.42333333333333334,0.7233333333333334,0.5333333333333333
RANDOM,source,brute,1,1800,0.48944444444444446,0.5130555555555556,0.4796083816584079,0.44222222222222224,0.04666666666666667,0.6566666666666666,0.9066666666666666
RANDOM,source,brute,2,1800,0.4161111111111111,0.4186111111111111,0.390672865316508,0.22,0.4111111111111111,0.15333333333333332,0.89
RANDOM,source,brute,3,1456,0.46222527472527475,0.48565104166666667,0.45388300916707747,0.42333333333333334,0.2833333333333333,0.4,0.8359375
IN1K,image,equilibree,regroupe,1877,0.9962706446457112,0.9953324413338822,0.9951986148539936,0.9984126984126984,1.0,0.9944444444444445,0.9884726224783862
IN1K,image,brute,regroupe,1877,0.996803409696324,0.9960529024289831,0.9959063432307995,0.9984126984126984,1.0,0.9944444444444445,0.9913544668587896
IN1K,source,equilibree,regroupe,6256,0.7175511508951407,0.7158649145932883,0.7127166091407066,0.8004761904761905,0.6105555555555555,0.6816666666666666,0.7707612456747405
IN1K,source,equilibree,0,1200,0.89,0.8900000000000001,0.888285612156741,0.9433333333333334,0.9833333333333333,0.9733333333333334,0.66
IN1K,source,equilibree,1,1800,0.7877777777777778,0.76,0.7047269355453005,0.8433333333333334,0.9966666666666667,0.25666666666666665,0.9433333333333334
IN1K,source,equilibree,2,1800,0.5305555555555556,0.5419444444444445,0.5364378069778157,0.29333333333333333,0.5077777777777778,0.74,0.6266666666666667
IN1K,source,equilibree,3,1456,0.7197802197802198,0.675546875,0.6458142882903204,0.9183333333333333,0.16,0.7566666666666667,0.8671875
IN1K,source,brute,regroupe,6256,0.7165920716112532,0.7153509982424343,0.7127970835915634,0.7885714285714286,0.6227777777777778,0.6758333333333333,0.7742214532871973
IN1K,source,brute,0,1200,0.8891666666666667,0.8891666666666667,0.887338868064453,0.94,0.9833333333333333,0.9733333333333334,0.66
IN1K,source,brute,1,1800,0.7727777777777778,0.7502777777777778,0.691225169974667,0.8177777777777778,0.9966666666666667,0.25333333333333335,0.9333333333333333
IN1K,source,brute,2,1800,0.5511111111111111,0.5594444444444444,0.5588356917711212,0.32666666666666666,0.5344444444444445,0.73,0.6466666666666666
IN1K,source,brute,3,1456,0.709478021978022,0.6677734375,0.635055466387549,0.9,0.15333333333333332,0.7466666666666667,0.87109375
DINOv2,image,equilibree,regroupe,1877,0.9898774640383591,0.9872707103975116,0.9871895424836601,0.9968253968253968,1.0,0.9666666666666667,0.9855907780979827
DINOv2,image,brute,regroupe,1877,0.9904102290889718,0.987667535794337,0.9877302189142676,0.9984126984126984,1.0,0.9666666666666667,0.9855907780979827
DINOv2,source,equilibree,regroupe,6256,0.7336956521739131,0.735597126105344,0.7214900233862679,0.9333333333333333,0.4211111111111111,0.8258333333333333,0.7621107266435986
DINOv2,source,equilibree,0,1200,0.8841666666666667,0.8841666666666667,0.8804483827390206,0.97,0.9866666666666667,0.9833333333333333,0.5966666666666667
DINOv2,source,equilibree,1,1800,0.8927777777777778,0.8619444444444445,0.8587568946072587,0.9544444444444444,0.9133333333333333,0.77,0.81
DINOv2,source,equilibree,2,1800,0.4661111111111111,0.6113888888888889,0.5244092091794241,0.7966666666666666,0.17555555555555555,0.7366666666666667,0.7366666666666667
DINOv2,source,equilibree,3,1456,0.7438186813186813,0.698671875,0.6401734264201414,0.9516666666666667,0.1,0.8133333333333334,0.9296875
DINOv2,source,brute,regroupe,6256,0.7074808184143222,0.7107876778162245,0.6964127222414722,0.9166666666666666,0.3705555555555556,0.8033333333333333,0.7525951557093425
DINOv2,source,brute,0,1200,0.8825,0.8825,0.8788232681425765,0.97,0.9833333333333333,0.98,0.5966666666666667
DINOv2,source,brute,1,1800,0.87,0.8422222222222223,0.8312057706127913,0.9255555555555556,0.9366666666666666,0.7133333333333334,0.7933333333333333
DINOv2,source,brute,2,1800,0.4061111111111111,0.5797222222222222,0.4732551417873862,0.81,0.058888888888888886,0.7233333333333334,0.7266666666666667
