encodeur,condition,variante,vrai,predit,n
IN1K,source,brute,thyroide,thyroide,771
IN1K,source,brute,thyroide,sein,79
IN1K,source,brute,sein,foetal,62
IN1K,source,brute,sein,cardiaque,1
IN1K,source,brute,sein,thyroide,111
IN1K,source,brute,sein,sein,982
DINOv2,image,equilibree,foetal,foetal,539
DINOv2,image,equilibree,foetal,cardiaque,1
DINOv2,image,equilibree,foetal,thyroide,0
DINOv2,image,equilibree,foetal,sein,0
DINOv2,image,equilibree,cardiaque,foetal,0
DINOv2,image,equilibree,cardiaque,cardiaque,540
DINOv2,image,equilibree,cardiaque,thyroide,0
DINOv2,image,equilibree,cardiaque,sein,0
DINOv2,image,equilibree,thyroide,foetal,0
DINOv2,image,equilibree,thyroide,cardiaque,0
DINOv2,image,equilibree,thyroide,thyroide,262
DINOv2,image,equilibree,thyroide,sein,8
DINOv2,image,equilibree,sein,foetal,0
DINOv2,image,equilibree,sein,cardiaque,0
DINOv2,image,equilibree,sein,thyroide,8
DINOv2,image,equilibree,sein,sein,339
DINOv2,image,brute,foetal,foetal,539
DINOv2,image,brute,foetal,cardiaque,1
DINOv2,image,brute,foetal,thyroide,0
DINOv2,image,brute,foetal,sein,0
DINOv2,image,brute,cardiaque,foetal,0
DINOv2,image,brute,cardiaque,cardiaque,540
DINOv2,image,brute,cardiaque,thyroide,0
DINOv2,image,brute,cardiaque,sein,0
DINOv2,image,brute,thyroide,foetal,0
DINOv2,image,brute,thyroide,cardiaque,0
DINOv2,image,brute,thyroide,thyroide,263
DINOv2,image,brute,thyroide,sein,7
DINOv2,image,brute,sein,foetal,0
DINOv2,image,brute,sein,cardiaque,0
DINOv2,image,brute,sein,thyroide,7
DINOv2,image,brute,sein,sein,340
DINOv2,source,equilibree,foetal,foetal,1542
DINOv2,source,equilibree,foetal,cardiaque,127
DINOv2,source,equilibree,foetal,thyroide,70
DINOv2,source,equilibree,foetal,sein,61
DINOv2,source,equilibree,cardiaque,foetal,738
DINOv2,source,equilibree,cardiaque,cardiaque,795
DINOv2,source,equilibree,cardiaque,thyroide,7
DINOv2,source,equilibree,cardiaque,sein,260
DINOv2,source,equilibree,thyroide,foetal,75
DINOv2,source,equilibree,thyroide,cardiaque,1
DINOv2,source,equilibree,thyroide,thyroide,730
DINOv2,source,equilibree,thyroide,sein,94
DINOv2,source,equilibree,sein,foetal,10
DINOv2,source,equilibree,sein,cardiaque,0
DINOv2,source,equilibree,sein,thyroide,130
DINOv2,source,equilibree,sein,sein,1016
DINOv2,source,brute,foetal,foetal,1497
DINOv2,source,brute,foetal,cardiaque,149
DINOv2,source,brute,foetal,thyroide,90
DINOv2,source,brute,foetal,sein,64
DINOv2,source,brute,cardiaque,foetal,714
DINOv2,source,brute,cardiaque,cardiaque,829
DINOv2,source,brute,cardiaque,thyroide,6
DINOv2,source,brute,cardiaque,sein,251
DINOv2,source,brute,thyroide,foetal,66
DINOv2,source,brute,thyroide,cardiaque,2
DINOv2,source,brute,thyroide,thyroide,745
DINOv2,source,brute,thyroide,sein,87
DINOv2,source,brute,sein,foetal,8
DINOv2,source,brute,sein,cardiaque,0
DINOv2,source,brute,sein,thyroide,143
DINOv2,source,brute,sein,sein,1005
A0 ep100,image,equilibree,foetal,foetal,534
A0 ep100,image,equilibree,foetal,cardiaque,3
A0 ep100,image,equilibree,foetal,thyroide,0
A0 ep100,image,equilibree,foetal,sein,3
A0 ep100,image,equilibree,cardiaque,foetal,1
A0 ep100,image,equilibree,cardiaque,cardiaque,539
A0 ep100,image,equilibree,cardiaque,thyroide,0
A0 ep100,image,equilibree,cardiaque,sein,0
A0 ep100,image,equilibree,thyroide,foetal,0
A0 ep100,image,equilibree,thyroide,cardiaque,1
A0 ep100,image,equilibree,thyroide,thyroide,265
A0 ep100,image,equilibree,thyroide,sein,4
A0 ep100,image,equilibree,sein,foetal,1
A0 ep100,image,equilibree,sein,cardiaque,0
A0 ep100,image,equilibree,sein,thyroide,6
A0 ep100,image,equilibree,sein,sein,340
A0 ep100,image,brute,foetal,foetal,534
A0 ep100,image,brute,foetal,cardiaque,3
A0 ep100,image,brute,foetal,thyroide,0
A0 ep100,image,brute,foetal,sein,3
