encodeur,condition,variante,pli,n_test,exactitude,exactitude_equilibree,f1_macro,rappel_foetal,rappel_cardiaque,rappel_thyroide,rappel_sein
RANDOM,image_cv,equilibree,regroupe,5656,0.9467821782178217,0.9372645136485968,0.9370875543758614,0.9605555555555556,0.9783333333333334,0.8888888888888888,0.921280276816609
RANDOM,image_cv,equilibree,0,1885,0.9490716180371352,0.9397348484848485,0.9394377140565947,0.9616666666666667,0.98,0.89,0.9272727272727272
RANDOM,image_cv,equilibree,1,1886,0.9522799575821845,0.9428389464594128,0.942196231619082,0.9633333333333334,0.9883333333333333,0.9,0.9196891191709845
RANDOM,image_cv,equilibree,2,1885,0.9389920424403183,0.9292207792207792,0.9296227084402419,0.9566666666666667,0.9666666666666667,0.8766666666666667,0.9168831168831169
RANDOM,image_cv,brute,regroupe,5656,0.9485502121640735,0.9374668396770474,0.9383513985617812,0.9672222222222222,0.98,0.8744444444444445,0.9282006920415224
RANDOM,image_cv,brute,0,1885,0.9506631299734748,0.9400162337662338,0.9406923912284944,0.9683333333333334,0.98,0.8766666666666667,0.935064935064935
RANDOM,image_cv,brute,1,1886,0.9538706256627784,0.9426532815198618,0.9433179395641167,0.9733333333333334,0.9883333333333333,0.8866666666666667,0.9222797927461139
RANDOM,image_cv,brute,2,1885,0.9411140583554377,0.9297348484848484,0.9310257776739261,0.96,0.9716666666666667,0.86,0.9272727272727272
IN1K,image_cv,equilibree,regroupe,5656,0.993988684582744,0.9918949442522107,0.992315015553212,0.9983333333333333,1.0,0.9822222222222222,0.9870242214532872
IN1K,image_cv,equilibree,0,1885,0.9952254641909815,0.9934199134199134,0.9938768408602994,1.0,1.0,0.9866666666666667,0.987012987012987
IN1K,image_cv,equilibree,1,1886,0.9920466595970308,0.9886593264248704,0.9898185329178777,0.9983333333333333,1.0,0.9666666666666667,0.9896373056994818
IN1K,image_cv,equilibree,2,1885,0.9946949602122016,0.993603896103896,0.9932440945299122,0.9966666666666667,1.0,0.9933333333333333,0.9844155844155844
IN1K,image_cv,brute,regroupe,5656,0.9943422913719944,0.9922500961168782,0.9927382983112369,0.9988888888888889,1.0,0.9822222222222222,0.9878892733564014
IN1K,image_cv,brute,0,1885,0.9952254641909815,0.9934199134199134,0.9938768408602994,1.0,1.0,0.9866666666666667,0.987012987012987
IN1K,image_cv,brute,1,1886,0.9920466595970308,0.9886593264248704,0.9898185329178777,0.9983333333333333,1.0,0.9666666666666667,0.9896373056994818
IN1K,image_cv,brute,2,1885,0.9957559681697613,0.9946699134199134,0.9945147930362442,0.9983333333333333,1.0,0.9933333333333333,0.987012987012987
DINOv2,image_cv,equilibree,regroupe,5656,0.9895685997171145,0.9858751441753173,0.9862230639786651,0.9972222222222222,0.9988888888888889,0.9655555555555555,0.9818339100346021
DINOv2,image_cv,equilibree,0,1885,0.9936339522546419,0.9912878787878788,0.9913369303461756,1.0,1.0,0.9833333333333333,0.9818181818181818
DINOv2,image_cv,equilibree,1,1886,0.9878048780487805,0.98338298791019,0.9841388675037774,0.9983333333333333,0.9966666666666667,0.9566666666666667,0.9818652849740933
DINOv2,image_cv,equilibree,2,1885,0.9872679045092838,0.9829545454545454,0.9831825331443425,0.9933333333333333,1.0,0.9566666666666667,0.9818181818181818
DINOv2,image_cv,brute,regroupe,5656,0.9893917963224894,0.9857362552864284,0.986150325585859,0.9972222222222222,0.9983333333333333,0.9655555555555555,0.9818339100346021
DINOv2,image_cv,brute,0,1885,0.9941644562334218,0.9919372294372295,0.9920748122967588,1.0,1.0,0.9833333333333333,0.9844155844155844
DINOv2,image_cv,brute,1,1886,0.986744432661718,0.9823186528497408,0.9829888113633849,0.9983333333333333,0.995,0.9566666666666667,0.9792746113989638
