encodeur,condition,variante,pli,n_test,exactitude,exactitude_equilibree,f1_macro,rappel_foetal,rappel_cardiaque,rappel_thyroide,rappel_sein
RANDOM,source,equilibree_centree,regroupe,5656,0.31824611032531824,0.25,0.12070815450643776,1.0,0.0,0.0,0.0
RANDOM,source,equilibree_centree,0,1800,0.5,0.25,0.16666666666666666,1.0,0.0,0.0,0.0
RANDOM,source,equilibree_centree,1,2356,0.1273344651952462,0.25,0.05647590361445783,1.0,0.0,0.0,0.0
RANDOM,source,equilibree_centree,2,1500,0.4,0.25,0.14285714285714285,1.0,0.0,0.0,0.0
IN1K,source,equilibree_centree,regroupe,5656,0.31824611032531824,0.25,0.12070815450643776,1.0,0.0,0.0,0.0
IN1K,source,equilibree_centree,0,1800,0.5,0.25,0.16666666666666666,1.0,0.0,0.0,0.0
IN1K,source,equilibree_centree,1,2356,0.1273344651952462,0.25,0.05647590361445783,1.0,0.0,0.0,0.0
IN1K,source,equilibree_centree,2,1500,0.4,0.25,0.14285714285714285,1.0,0.0,0.0,0.0
DINOv2,source,equilibree_centree,regroupe,5656,0.31824611032531824,0.25,0.12070815450643776,1.0,0.0,0.0,0.0
DINOv2,source,equilibree_centree,0,1800,0.5,0.25,0.16666666666666666,1.0,0.0,0.0,0.0
DINOv2,source,equilibree_centree,1,2356,0.1273344651952462,0.25,0.05647590361445783,1.0,0.0,0.0,0.0
DINOv2,source,equilibree_centree,2,1500,0.4,0.25,0.14285714285714285,1.0,0.0,0.0,0.0
A0 ep100,source,equilibree_centree,regroupe,5656,0.31824611032531824,0.25,0.12070815450643776,1.0,0.0,0.0,0.0
A0 ep100,source,equilibree_centree,0,1800,0.5,0.25,0.16666666666666666,1.0,0.0,0.0,0.0
A0 ep100,source,equilibree_centree,1,2356,0.1273344651952462,0.25,0.05647590361445783,1.0,0.0,0.0,0.0
A0 ep100,source,equilibree_centree,2,1500,0.4,0.25,0.14285714285714285,1.0,0.0,0.0,0.0
A0 ep200,source,equilibree_centree,regroupe,5656,0.31824611032531824,0.25,0.12070815450643776,1.0,0.0,0.0,0.0
A0 ep200,source,equilibree_centree,0,1800,0.5,0.25,0.16666666666666666,1.0,0.0,0.0,0.0
A0 ep200,source,equilibree_centree,1,2356,0.1273344651952462,0.25,0.05647590361445783,1.0,0.0,0.0,0.0
A0 ep200,source,equilibree_centree,2,1500,0.4,0.25,0.14285714285714285,1.0,0.0,0.0,0.0
A0 ep300,source,equilibree_centree,regroupe,5656,0.31824611032531824,0.25,0.12070815450643776,1.0,0.0,0.0,0.0
A0 ep300,source,equilibree_centree,0,1800,0.5,0.25,0.16666666666666666,1.0,0.0,0.0,0.0
A0 ep300,source,equilibree_centree,1,2356,0.1273344651952462,0.25,0.05647590361445783,1.0,0.0,0.0,0.0
A0 ep300,source,equilibree_centree,2,1500,0.4,0.25,0.14285714285714285,1.0,0.0,0.0,0.0
FOETAL ep50,source,equilibree_centree,regroupe,5656,0.31824611032531824,0.25,0.12070815450643776,1.0,0.0,0.0,0.0
FOETAL ep50,source,equilibree_centree,0,1800,0.5,0.25,0.16666666666666666,1.0,0.0,0.0,0.0
FOETAL ep50,source,equilibree_centree,1,2356,0.1273344651952462,0.25,0.05647590361445783,1.0,0.0,0.0,0.0
FOETAL ep50,source,equilibree_centree,2,1500,0.4,0.25,0.14285714285714285,1.0,0.0,0.0,0.0
FOETAL ep100,source,equilibree_centree,regroupe,5656,0.31824611032531824,0.25,0.12070815450643776,1.0,0.0,0.0,0.0
FOETAL ep100,source,equilibree_centree,0,1800,0.5,0.25,0.16666666666666666,1.0,0.0,0.0,0.0
FOETAL ep100,source,equilibree_centree,1,2356,0.1273344651952462,0.25,0.05647590361445783,1.0,0.0,0.0,0.0
FOETAL ep100,source,equilibree_centree,2,1500,0.4,0.25,0.14285714285714285,1.0,0.0,0.0,0.0
